tempo,cwnd,ssthresh,modo,evento
0.0006,2.0000,15.0000,slow_start,ok
0.0010,3.0000,15.0000,slow_start,ok
0.0012,4.0000,15.0000,slow_start,ok
0.0018,5.0000,15.0000,slow_start,ok
0.0019,6.0000,15.0000,slow_start,ok
0.5017,1.0000,4.0000,slow_start,timeout
0.5026,2.0000,4.0000,slow_start,ok
0.5031,3.0000,4.0000,slow_start,ok
0.5033,4.0000,4.0000,slow_start,ok
0.5040,4.2500,4.0000,congestion_avoidance,ok
0.5040,4.4853,4.0000,congestion_avoidance,ok
0.5042,4.7082,4.0000,congestion_avoidance,ok
0.5043,4.9206,4.0000,congestion_avoidance,ok
0.5051,5.1239,4.0000,congestion_avoidance,ok
0.5053,5.3190,4.0000,congestion_avoidance,ok
0.5054,5.5070,4.0000,congestion_avoidance,ok
0.5055,5.6886,4.0000,congestion_avoidance,ok
0.5056,5.8644,4.0000,congestion_avoidance,ok
0.5067,6.0349,4.0000,congestion_avoidance,ok
0.5070,6.2006,4.0000,congestion_avoidance,ok
0.5071,6.3619,4.0000,congestion_avoidance,ok
0.5072,6.5191,4.0000,congestion_avoidance,ok
0.5073,6.6725,4.0000,congestion_avoidance,ok
0.5073,6.8224,4.0000,congestion_avoidance,ok
0.5093,6.9689,4.0000,congestion_avoidance,ok
0.5095,7.1124,4.0000,congestion_avoidance,ok
0.5096,7.2530,4.0000,congestion_avoidance,ok
0.5097,7.3909,4.0000,congestion_avoidance,ok
0.5098,7.5262,4.0000,congestion_avoidance,ok
0.5099,7.6591,4.0000,congestion_avoidance,ok
0.5100,7.7896,4.0000,congestion_avoidance,ok
0.5113,7.9180,4.0000,congestion_avoidance,ok
0.5115,8.0443,4.0000,congestion_avoidance,ok
0.5116,8.1686,4.0000,congestion_avoidance,ok
0.5117,8.2910,4.0000,congestion_avoidance,ok
0.5118,8.4116,4.0000,congestion_avoidance,ok
0.5119,8.5305,4.0000,congestion_avoidance,ok
0.5120,8.6478,4.0000,congestion_avoidance,ok
0.5121,8.7634,4.0000,congestion_avoidance,ok
0.5139,8.8775,4.0000,congestion_avoidance,ok
0.5140,8.9901,4.0000,congestion_avoidance,ok
0.5141,9.1014,4.0000,congestion_avoidance,ok
0.5142,9.2113,4.0000,congestion_avoidance,ok
0.5143,9.3198,4.0000,congestion_avoidance,ok
0.5144,9.4271,4.0000,congestion_avoidance,ok
0.5145,9.5332,4.0000,congestion_avoidance,ok
0.5145,9.6381,4.0000,congestion_avoidance,ok
0.5146,9.7418,4.0000,congestion_avoidance,ok
0.5163,9.8445,4.0000,congestion_avoidance,ok
0.5164,9.9461,4.0000,congestion_avoidance,ok
0.5165,10.0466,4.0000,congestion_avoidance,ok
0.5166,10.1462,4.0000,congestion_avoidance,ok
0.5168,10.2447,4.0000,congestion_avoidance,ok
0.5169,10.3423,4.0000,congestion_avoidance,ok
0.5170,10.4390,4.0000,congestion_avoidance,ok
0.5171,10.5348,4.0000,congestion_avoidance,ok
0.5173,10.6297,4.0000,congestion_avoidance,ok
0.5174,10.7238,4.0000,congestion_avoidance,ok
0.5181,10.8171,4.0000,congestion_avoidance,ok
0.5182,10.9095,4.0000,congestion_avoidance,ok
1.0180,1.0000,5.4548,slow_start,timeout
1.0184,2.0000,5.4548,slow_start,ok
